"Dispensary","Hoodie ID","License #","Carried SKUs","SKU Count Change (since last week)","Total Monthly Sales","Address"
"Going Green Albany","13238","050-1005284C8D3","496","21% (-134)","$250k-$500k","1225 S Commercial Way SE, Albany, OR 97322, USA"
"Thur's Smoke Shop","11320","050-100697186A7","471","21% (-124)","$500k-$750k","502 SE 16th St, Pendleton, OR 97801, USA"
"Bahama Buds - Coos Bay","14714","050 10073803B80","189","37% (-112)","under $250k","1415 N BAYSHORE DR, Coos Bay, Oregon, USA"
"Nectar - Forest Grove","15041","050-1011718F505","678","14% (-106)","$250k-$500k","3331 Pacific Ave, Forest Grove, OR 97116, USA"
"Nectar - Aloha","12390","050-10150638165","704","12% (-94)","$250k-$500k","20595 SW Tualatin Valley Hwy, Beaverton, OR 97006, USA"
"Mr. Nice Guy - Lebanon - THClear","13298","050-10085557734","278","25% (-94)","under $250k","712 PARK ST, Lebanon, Oregon, USA"
"Kaleafa Cannabis Company - Oregon City","14689","050-1015536CD46","417","18% (-89)","$250k-$500k","19197 S Molalla Ave, Oregon City, OR 97045, USA"
"Herbal Remedies 2","12661","050-1005488731C","725","10% (-84)","under $250k","3940 Commercial St SE, Salem, OR 97302, USA"
"Breeze Botanicals - Gold Hill","14565","050-1000100101A","1000","7% (-80)","under $250k","315 2nd Ave, Gold Hill, OR 97525, USA"
"The Canna Shoppe - Anchor Way","masterauto1688156536150","Unspecified","210","26% (-74)","under $250k","925 N Anchor Way, Portland, OR 97217, USA"
"Chalice Farms - Tigard","15283","050-10079919CD9","668","10% (-72)","$250k-$500k","16735 SW PACIFIC HWY, Portland, Oregon, USA"
"Today's Herbal Choice - Tillamook","20966","050-101187459CB","234","24% (-72)","under $250k","2180 Larson Rd, Tillamook, OR 97141, USA"
"Nectar - Salem Commercial","masterauto1650290157043","050-101677217E8","622","10% (-70)","under $250k","3514 Commercial St SE, Salem, OR 97302, USA"
"Old School Bliss","masterauto1625664489938","050 1012077A338","240","23% (-70)","under $250k","2090 Olympic St unit D, Springfield, OR 97477, USA"
"Nectar - Ontario 1st St","masterauto1656006708031","050-101382780CF","590","10% (-66)","$250k-$500k","1200 SE 1st St, Ontario, OR 97914, USA"
"Ripped City Greenz","masterauto1656082525278","Unspecified","440","13% (-64)","under $250k","15591 SE McLoughlin Blvd, Milwaukie, OR 97267, USA"
"Kaleafa Cannabis Company - Gresham","12682","050-10051364EB2","382","14% (-64)","$250k-$500k","1450 SE Orient Dr, Gresham, OR 97080, USA"
"Amazon Organics","11142","050-1000628466D","1002","6% (-62)","under $250k","3443 Hilyard St F, Eugene, OR 97405, USA"
"Nectar - Hillsboro","20965","050-1015130EFE0","698","8% (-62)","$250k-$500k","1180 SE 13th Ave, Hillsboro, OR 97123, USA"
"Nectar - Beaverton Allen","11650","Unspecified","788","7% (-60)","$250k-$500k","14195 SW Allen Blvd, Beaverton, OR 97005, USA"
"Top Shelf Medicine - Bend","15313","050-1003951867F","482","11% (-60)","under $250k","815 NE Greenwood Ave, Bend, OR 97701, USA"
"Oregrown - Portland","10858","050 10084944C37","473","11% (-60)","under $250k","The Eiger Building, 111 NE 12th Ave, Portland, OR 97232, USA"
"Gnome Grown - St. Helen","masterauto1629814000730","#050-1012848DB9F","387","13% (-60)","under $250k","100 St Helens St, St Helens, OR 97051, USA"
"Electric Lettuce - Damascus","13972","050 10086554F25","292","17% (-59)","under $250k","15252 OR-224 Suite B, Damascus, OR 97015, USA"
"Cannabis and Glass - Ontario","15348","050-10127857D22","390","13% (-58)","$500k-$750k","182 East Ln, Ontario, OR 97914, USA"
"Lemonnade - St John's","12042","050 10031851212","390","13% (-56)","under $250k","8105 N Fessenden St, Portland, OR 97203, USA"
"Mindrite Dispensary","14316","050-10036766B3B","526","9% (-54)","under $250k","1780 NW Marshall St, Portland, OR 97209, USA"
"Going Green Sweet Home","14059","050-10069997015","572","8% (-52)","under $250k","925 Main St, Sweet Home, OR 97386, USA"
"Mr. Nice Guy - Waldport","11733","050-10010057BC0","220","19% (-52)","under $250k","220 OR-34, Waldport, Oregon, USA"
"Knotty Leaves","18102","050 1004837AEEB","522","9% (-50)","under $250k","769 N Main St Suite C, Independence, OR 97351, USA"
"Cannabis Nation - Gresham","13418","050-10020141411","398","11% (-50)","$250k-$500k","1500 NE Division St, Gresham, OR 97030, USA"
"Deep Roots Cannabis","12235","10004923B1AA","398","11% (-48)","under $250k","2155 Olympic St, Springfield, OR 97477, USA"
"Nectar - Gresham 162nd","masterauto1647530415266","Unspecified","632","7% (-46)","under $250k","407 SE 162nd Ave, Portland, OR 97233, USA"
"Truth Dispensary - Center
","15543","050-100674091C2","1072","4% (-44)","under $250k","2345 Center St NE, Salem, OR 97301, USA"
"Truth Dispensary - Lancaster","14262","050 10103753D2B","918","5% (-44)","$250k-$500k","1735 Lancaster Dr NE, Salem, OR 97305, USA"
"Redbarn Dispensary - Roseburg","15014","050 10116104A8C","598","7% (-44)","under $250k","1810 NE Stephens St, Roseburg, OR 97470, USA"
"Fyre of Bend","19591","050-101153999FB","582","7% (-44)","$500k-$750k","2650 NE Division St, Bend, OR 97703, USA"
"Kind Leaf- Pendleton","11615","050-10053577FB7","279","13% (-43)","under $250k","1733 SW Court Ave, Pendleton, OR 97801, USA"
"Substance - Cottage Grove","masterauto1660170438612","050-1016174005F","1076","4% (-42)","under $250k","2715 Row River Rd Suite A, Cottage Grove, OR 97424, USA"
"Top Crop - Ontario","14352","050-10139850F54","798","5% (-42)","$1.25M-$1.5M","297 SE 10th St, Ontario, OR 97914, USA"
"Nectar - Beaverton Hall","13026","050-1003305612E","762","5% (-42)","$250k-$500k","8705 SW Hall Blvd, Beaverton, OR 97008, USA"
"Nectar - Sandy","10003","050-10001759551","672","6% (-42)","under $250k","3350 NE Sandy Blvd, Portland, OR 97232, USA"
"Nectar - Tillamook","10137","050-1003307ED92","568","7% (-42)","under $250k","575 Main Ave, Tillamook, OR 97141, USA"
"Canna Bros. - Newberg","10255","050-10032789CAF","380","10% (-42)","under $250k","2316 Portland Rd c2, Newberg, OR 97132, USA"
"Mr. Nice Guy - Market St Salem","12663","050-1008335A9E3","282","13% (-42)","under $250k","2794 MARKET ST NE, Salem, Oregon, USA"
"Pioneer Cannabis Co.","12410","050-1010879025E","716","5% (-40)","under $250k","141 SE 5th St, Madras, OR 97741, USA"
"Cookies - Halsey","masterauto1629305276747","050-10128018F70","596","6% (-38)","under $250k","16102 NE Halsey St , Portland, Oregon, USA"
"The Green Front - Glisan","14317","050-100236001BA","496","7% (-38)","under $250k","6834 NE Glisan St, Portland, OR 97213, USA"
"Top Shelf Wellness Center - Phoenix","13478","050 1013444DEA1","272","12% (-38)","under $250k","205 N Phoenix Rd, Phoenix, OR 97535, USA"
"Pioneer Cannabis - Coos Bay","12946","1004300A56B","232","14% (-38)","under $250k","63049 US-101, Coos Bay, OR 97420, USA"
"The Bake Shop - Salem","17038","050-1010641CEDD","100","28% (-38)","under $250k","3125 Portland Rd NE B, Salem, OR 97301, USA"
"Lemonnade - PDX","12624","050-1007585AD54","686","5% (-36)","under $250k","6218 NE Columbia Blvd, Portland, OR 97218, USA"
"Jamaica Joel's","12187","050-10009611DA7","486","7% (-36)","under $250k","37 W 13th Ave #201, Eugene, OR 97401, USA"
"Five Zero Trees - Portland West","12194","050-10140556CE8","430","8% (-36)","under $250k","5336 SW Beaverton Hillsdale Hwy, Portland, OR 97221, USA"
"Natural Remedies","10051","050-10045414F9E","310","10% (-36)","under $250k","8700 SW Barbur Ct, Portland, OR 97219, USA"
"Green Mart","12358","050-10026091C87","293","11% (-36)","under $250k","12745 SW Walker Rd #100a, Beaverton, OR 97005, USA"
"Farma","13445","050-1013305B57E","282","11% (-36)","under $250k","916 SE Hawthorne Blvd, Portland, OR 97214, USA"
"Deanz Greenz - Foster","10171","050-1015964A387","176","17% (-35)","$250k-$500k","5625 SE 85th Ave, Portland, OR 97266, USA"
"Kaleafa Cannabis Company - Beaverton","11091","050-10000407C53","541","6% (-34)","under $250k","10920 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005, USA"
"Top Shelf Cannabis - McMinnville","13141","Unspecified","374","8% (-34)","under $250k","353 SE Baker St, McMinnville, OR 97128, USA"
"The Herb Center - Bend","11958","050-1000391EED7","354","9% (-34)","under $250k","2205 NE Division St, Bend, OR 97701, USA"
"Dr. Jolly's","9729","050 100033994A3","340","9% (-34)","under $250k","415 SE 3rd St, Bend, OR 97702, USA"
"Oregon Bud Company - Keizer","15118","050-1000651584B","77","30% (-33)","under $250k","3450 River Rd N, Keizer, OR 97303, USA"
"HOMEGROWN - West Salem","11589","Unspecified","575","5% (-32)","under $250k","1077 Edgewater St NW, Salem, OR 97304, USA"
"The Chronic on Commercial","masterauto1679775902760","050 10226326FC2","388","8% (-32)","under $250k","3024 Commercial St SE, Salem, OR 97302, USA"
"Bridge City Collective - North Portland","12422","050-10041989EBF","204","14% (-32)","under $250k","4312 N Williams Ave, Portland, OR 97217, USA"
"Green Ridge Apothecary","10205","050 10032418898","62","34% (-32)","under $250k","106 NE 8th St, McMinnville, OR 97128, USA"
"Green Ridge - Pacific City","13274","Unspecified","18","64% (-32)","under $250k","34970 Brooten Rd, Pacific City, OR 97135, USA"
"Lemonnade - Portland","13304","050-10055695C26","998","3% (-30)","$500k-$750k","11321 SW 64th Ave, Portland, OR 97219, USA"
